periode_data,wilayah,no_registrasi,kode_barang,alamat,type,lintang,bujur,keterangan
2024,KOTA ADM. JAKARTA PUSAT,JPO210800031,134010210001,"Jl. Gunung Sahari Deepan Gang Lilin dekat Dinas Teknis (BIN46),Jkarta Pusat",JPO,-6.151778,106.835583,JPO Reguler
2024,KOTA ADM. JAKARTA PUSAT,JPO210800168,134010210001,"Jl. Gedung Kesenian (Dekat Gedung Kesenian / Kantor Pos), KOTA ADM. JAKARTA PUSAT",JPO,-6.1666948,106.8351522,JPO Reguler
2024,KOTA ADM. JAKARTA PUSAT,JPO210800036,134010210001,"Jl. Dr. Wahidin Deapan Kementrian Keuangan, KOTA ADM. JAKARTA PUSAT",JPO,-6.170607,106.838101,JPO Reguler
2024,KOTA ADM. JAKARTA PUSAT,JPO210800037,134010210001,"Jl. Kramat Raya Depan Rivoli / depan Kecamatan Senen (JPO Halte Busway  Pal Putih), KOTA ADM. JAKARTA PUSAT",JPO,-6.184466,106.843969,Busway Pal Putih
2024,KOTA ADM. JAKARTA PUSAT,JPO210800038,134010210001,"Jl. Gunung Sahari Dekat Budi Utomo (JPO Halte Busway  Budi Utomo), KOTA ADM. JAKARTA PUSAT",JPO,-6.165847,106.83916,Busway Budi Utomo
2024,KOTA ADM. JAKARTA PUSAT,JPO210800039,134010210001,"Rumah Sakit Islam (Yarsi), KOTA ADM. JAKARTA PUSAT",JPO,-6.168662,106.870404,Busway Rs Islam
2024,KOTA ADM. JAKARTA PUSAT,JPO210800040,134010210001,"Cempaka Tengah (Lippo), KOTA ADM. JAKARTA PUSAT",JPO,-6.170219,106.866834,Busway Cempaka Tengah (Terdapat di akun aset dalam proses penyelesaian majelis penetapan status aset)
2024,KOTA ADM. JAKARTA PUSAT,JPO210800169,134010210001,"Jl.Angkasa Raya Depan Pelni, KOTA ADM. JAKARTA PUSAT",JPO,-6.157602,106.843192,JPO Reguler
2024,KOTA ADM. JAKARTA PUSAT,JPO210800354,134010210001,"Pasar Cempaka Putih, KOTA ADM. JAKARTA PUSAT",JPO,-6.172384,106.862494,Busway Pramuka BPKP
2024,KOTA ADM. JAKARTA PUSAT,JPO210800043,134010210001,"Rawa Selatan, KOTA ADM. JAKARTA PUSAT",JPO,-6.173935,106.858223,Busway Rawa Selatan
2024,KOTA ADM. JAKARTA PUSAT,JPO210800046,134010210001,"Atrium, KOTA ADM. JAKARTA PUSAT",JPO,-6.176139,106.839889,Busway Atrium
2024,KOTA ADM. JAKARTA PUSAT,JPO210800047,134010210001,"Gambir 1, KOTA ADM. JAKARTA PUSAT",JPO,-6.174436,106.830448,JPO Reguler
2024,KOTA ADM. JAKARTA PUSAT,JPO210800048,134010210001,"Jl. Hasyim Ashari depan Sekolah Tarsisus, KOTA ADM. JAKARTA PUSAT",JPO,-6.165215,106.81626,JPO Reguler
2024,KOTA ADM. JAKARTA PUSAT,JPO210800049,134010210001,"Jl. Cideng Barat / Timur depan Pasar Thomas, KOTA ADM. JAKARTA PUSAT",JPO,-6.179444,106.813091,JPO Reguler
2024,KOTA ADM. JAKARTA PUSAT,JPO210800053,134010210001,"Jl. Jendral Sudirman depan Polda Metro Jaya, KOTA ADM. JAKARTA PUSAT",JPO,-6.221488,106.809874,Busway Salemba UI
2024,KOTA ADM. JAKARTA TIMUR,JPO210800375,134010210001,JL. BASUKI RAHMAT (Sebelum Fly Over Arah Tebet),JPO,-6.224707,106.87239,Busway S. Parman Podomoro City
2024,KOTA ADM. JAKARTA TIMUR,JPO210800220,134010210001,Jl. Dewi Sartika/Cawang,JPO,-6.2452146,106.8681656,Busway
2024,KOTA ADM. JAKARTA TIMUR,JPO210800223,134010210001,JL. MATRAMAN (Depan SMPN 14),JPO,-6.214794,106.864979,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800235,134010210001,Jl. Pramuka Raya depan Pasar Burung Pramuka (non Busway),JPO,-6.197011,106.857275,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800267,134010210001,JL. RAYA BEKASI TIMUR (Depan Toko Abadi Klender),JPO,-6.209662,106.901688,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800279,134010210001,JL. RAYA BEKASI (Depan SDN Jatinegara Kaum),JPO,-6.197715,106.905104,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800304,134010210001,JL. TAMAN MINI 1 (Dekat pintu 1 TMII),JPO,-6.300572,106.88377,Busway
2024,KOTA ADM. JAKARTA TIMUR,JPO210800118,134010210001,JPO Halte Busway CAWANG UKI,JPO,-6.250401,106.87362,Busway Rawa Buaya
2024,KOTA ADM. JAKARTA TIMUR,JPO210800131,134010210001,JL. MAYJEN SUTOYO (Depan Kampus UKI),JPO,-6.250433,106.873709,Eks. Sudinhub Kota Adm. KOTA ADM. JAKARTA BARAT
2024,KOTA ADM. JAKARTA TIMUR,JPO210800363,134010210001,JL. MAYJEN SUTOYO (Depan Kampus UKI),JPO,-6.250541,106.873493,Eks. Sudinhub Kota Adm. KOTA ADM. JAKARTA BARAT
2024,KOTA ADM. JAKARTA TIMUR,JPO210800337,134010210001,"Jl. Mayjend Sutoyo Cililitan, Kec. Kramat jati, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13510 (Halte Busway PGC1)",JPO,-6.2628581,106.8662223,Busway Sumur Bor
2024,KOTA ADM. JAKARTA TIMUR,JPO210800241,134010210001,JL. MAYJEN SUTOYO (Depan Mall PGC),JPO,-6.262679,106.866384,Busway Pesakih
2024,KOTA ADM. JAKARTA TIMUR,JPO210800064,134010210001,JL. OTTO ISKANDAR DINATA (Depan Gedung Kementrian Keuangan) (JPO HALTE BUSWAY BIDARA CINA),JPO,-6.2298,106.867285,Busway
2024,KOTA ADM. JAKARTA TIMUR,JPO210800338,134010210001,"Jl. Tol Cawang Grogol RT.1/RW.6, Cawang, Kec. Kramat jati, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13630 (Halte Busway BNN)",JPO,-6.2459073,106.8704465,Busway Jembatan Besi
2024,KOTA ADM. JAKARTA TIMUR,JPO210800339,134010210001,"Jl. Mt. Hayono St. RT.1/RW.6, Cawang, Kramat Jati, East Jakarta City, Jakarta 13630 (Halte Busway BNN)",JPO,-6.2458553,106.8713096,JPO Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800340,134010210001,"Jl. Letjen MT Haryono RT.1/RW.6, Cawang, Kec. Kramat jati, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13630 (Halte Busway BNN Utara)",JPO,-6.2459962,106.8715614,Busway Jembatan Baru
2024,KOTA ADM. JAKARTA TIMUR,JPO210800243,134010210001,JL. MT HARYONO (Depan BNN),JPO,-6.24624,106.872036,Busway Kedoya Assiddiqiyah
2024,KOTA ADM. JAKARTA TIMUR,JPO210800125,134010210001,CAWANG OTISTA,JPO,-6.243828,106.86863,Busway Kedoya Green Garden
