video_id,link,title,published_at_utc,published_date_wib,published_time_wib,channel_id,channel_title,channel_subscribers,view_count,like_count,comment_count,is_short
h1pTyhy38vI,https://www.youtube.com/watch?v=h1pTyhy38vI,"??RANTIS BRIMOB LINDAS OJOL AFFAN, Tujuh Polisi Dalam Rantis Ditangkap, Kapolri Bicara",2025-08-29T06:34:16Z,8/29/2025,13:34:16,UCdygRiDGTM9kjc-7hrrB-7Q,Harian Surya,3430000,3051,,8,FALSE
eb7SDdZdqko,https://www.youtube.com/watch?v=eb7SDdZdqko,Tak Cukup Kata Maaf #???? #demodpr #gojek,2025-08-29T06:30:47Z,8/29/2025,13:30:47,UC3yIWaXWnC4ZUI5u4FcNdKA,Geka Channel,15500,1787,31,1,TRUE
4dq3ryDDwuw,https://www.youtube.com/watch?v=4dq3ryDDwuw,Tegas! Prabowo Minta Polri Usut Tuntas Insiden Rantis Tabrak Ojol,2025-08-29T06:30:10Z,8/29/2025,13:30:10,UCJihkOSfgpDz_HHhkb-OGLQ,Buletin iNews GTV,1600000,286,3,9,FALSE
A9UvcRdSQpE,https://www.youtube.com/watch?v=A9UvcRdSQpE,DENNY SUMARGO desak APARAT usut tuntas OJOL T3W4S DILIND4S RANTIS BRIMOB,2025-08-29T06:29:03Z,8/29/2025,13:29:03,UC9nyPw2U_jAK5QPAPBMjKnQ,John Acoustic26,23900,14556,57,3,TRUE
69eOOOf7Jug,https://www.youtube.com/watch?v=69eOOOf7Jug,EKSLUSIF GOJEK BERDUKA ????PROSES PEMAKAMAN ALM AFFAN KURNIAWAN KORBAN TERL1NDAS MOB1L ,2025-08-29T06:27:19Z,8/29/2025,13:27:19,UC3_pPU20YLycbu4aNDxmR-w,Adief Wafi,258000,384,7,17,FALSE
ury-oS67sGc,https://www.youtube.com/watch?v=ury-oS67sGc,Anggota Brimob Tabrak & Li*das Ojol Di Demo 28 Agustus 2025 #gojek #ojekonline #brimob #ojol #demo,2025-08-29T06:24:55Z,8/29/2025,13:24:55,UCVRInwA00efN5fDMHrnkdAQ,Swan_id,1800,16,2,1,FALSE
udM9SjdFHTQ,https://www.youtube.com/watch?v=udM9SjdFHTQ,Presiden Indonesia Prabowo Subianto Menyampaikan Bela Sungkawa Driver Ojol Alm. Affan Kurniawan,2025-08-29T06:24:26Z,8/29/2025,13:24:26,UCE4IG_tp1hDGxOXL3loc6Tg,Ajens,3580,835,6,0,FALSE
j-MtF8FN0WQ,https://www.youtube.com/watch?v=j-MtF8FN0WQ,presiden Prabowo usut tuntas penindasan ojol #ojol #viral,2025-08-29T06:23:04Z,8/29/2025,13:23:04,UCgbXDQmKA1C9GgZiz-Q40cA,Muhammad Yadi,22,1115,17,7,FALSE
sR1Cr34EyRU,https://www.youtube.com/watch?v=sR1Cr34EyRU,Respons Prabowo Driver Ojol Dilindas Kendaraan Brimob: Saya Kecewa!,2025-08-29T06:22:40Z,8/29/2025,13:22:40,UCdOovgmIPfj9a-o3VP5i2_g,MerdekaDotCom,3540000,1448,11,32,FALSE
AeVQe5E7oj0,https://www.youtube.com/watch?v=AeVQe5E7oj0,ribuan driver ojek online mengantar kan Alm. Affan #demo #gojek #ojol #beritapolitik,2025-08-29T06:20:54Z,8/29/2025,13:20:54,UCZv09EedvxSSM_R69iYRMPA,MD MAHARANI,458,12,0,0,TRUE
QifBa8lCMtk,https://www.youtube.com/watch?v=QifBa8lCMtk,Ribuan Ojol Mengantar Jenazah Affan Kurniawan #gojek #gojekindonesia #ojol #viral #fyp,2025-08-29T06:20:37Z,8/29/2025,13:20:37,UCZY618wri_uPfl33FxQaZMQ,Juragane,858,1474,56,12,TRUE
Rf1wI-p1cF0,https://www.youtube.com/watch?v=Rf1wI-p1cF0,lautan ojol #vidio #ojol #bulanagustus #gojek,2025-08-29T06:19:25Z,8/29/2025,13:19:25,UCHKbpqdaVc9KJSAhR5Vz2-w,Ayunda Nadya,412,1,0,0,TRUE
Kh9CIx1fn5I,https://www.youtube.com/watch?v=Kh9CIx1fn5I,"RIBUAN Ojol, Antar Alm. Affan Kurniawan??#pemakaman #driver #ojol #brimob #viral #trendingshorts",2025-08-29T06:18:00Z,8/29/2025,13:18:00,UClSBIztl5WvCGllLZyJZ-Mw,TEGAK LURUS,67800,33386,594,10,TRUE
hvj3w20DYP8,https://www.youtube.com/watch?v=hvj3w20DYP8,"??LIVE BREAKING NEWS | Demo Memanas, TNI Turun Tangan, Prabowo ke Rumah Duka Affan Kurniawan",2025-08-29T06:16:30Z,8/29/2025,13:16:30,UC1QpnGo11epfexw1bIiTHTg,Liputan6,2510000,347072,2204,0,TRUE
hEPvvVx3KN0,https://www.youtube.com/watch?v=hEPvvVx3KN0,"Insiden Ojol Terlindas Jadi Duka Bersama, Kapolri Sudah Tunjukkan Kepemimpinan Moral #shorts",2025-08-29T06:15:50Z,8/29/2025,13:15:50,UCd0RRAHJhO0caQL8aSdSxww,Koma Indonesia,28900,1492,13,4,FALSE
xNWIkzvqA9E,https://www.youtube.com/watch?v=xNWIkzvqA9E,BINGUNG!!! MAP GOJEK MENGARAHKAN KE RUAS GANJIL GENAP,2025-08-29T06:15:47Z,8/29/2025,13:15:47,UCwNb5KyW_Byk3hN0FyGChVw,JADI DRIVER,255,71,5,1,FALSE
djrbZjvxY60,https://www.youtube.com/watch?v=djrbZjvxY60,Presiden Prabowo Subianto buka suara. 29/08 #affan #ojol #gojek #demo #polisi #brimob,2025-08-29T06:14:09Z,8/29/2025,13:14:09,UCHEGLUVl99AH5DCvomOP8dA,Warganet id,259000,6678,188,38,TRUE
mBi5xMib2yc,https://www.youtube.com/watch?v=mBi5xMib2yc,#brimob #beritaviral #ojol,2025-08-29T06:13:12Z,8/29/2025,13:13:12,UC9RIBSSW4lquJLBehmEYDNA,Fabizar Update ,3180,907,16,0,TRUE
